,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,benghazi,0.0,LY,1544683430,100.0,32.12,20.07,67.13,18.86
1,punta arenas,75.0,CL,1544680800,76.0,-53.16,-70.91,50.0,11.41
2,ormara,0.0,PK,1544683432,76.0,25.21,64.64,74.33,11.81
3,byron bay,40.0,AU,1544680800,74.0,-28.65,153.62,89.6,23.04
4,salalah,0.0,OM,1544680200,33.0,17.01,54.1,86.0,6.93
5,mataura,24.0,NZ,1544683436,56.0,-46.19,168.86,71.9,9.69
6,atuona,0.0,PF,1544683438,100.0,-9.8,-139.03,81.35,15.5
7,bonthe,56.0,SL,1544683439,96.0,7.53,-12.5,75.95,1.74
8,clyde river,40.0,CA,1544680800,77.0,70.47,-68.59,-2.21,3.36
9,hobart,75.0,AU,1544680800,68.0,-42.88,147.33,68.0,17.22
10,bluff,92.0,AU,1544683443,95.0,-23.58,149.07,73.43,5.1
11,zaysan,32.0,KZ,1544683445,89.0,47.47,84.87,24.38,0.51
12,ushuaia,90.0,AR,1544680800,76.0,-54.81,-68.31,50.0,5.82
13,la ronge,5.0,CA,1544680800,79.0,55.1,-105.3,26.6,9.17
14,jardim,44.0,BR,1544683449,76.0,-21.48,-56.15,74.42,4.65
15,bathsheba,20.0,BB,1544680800,61.0,13.22,-59.52,78.8,19.46
16,ponta do sol,20.0,BR,1544683452,96.0,-20.63,-46,61.51,2.53
18,bermejo,76.0,AR,1544683453,80.0,-22.73,-64.34,78.29,1.63
19,kawalu,56.0,ID,1544683454,100.0,-7.38,108.21,75.86,1.97
20,bubaque,0.0,GW,1544683456,100.0,11.28,-15.83,78.83,10.47
22,pevek,64.0,RU,1544683458,100.0,69.7,170.27,-13.47,3.42
23,cape town,75.0,ZA,1544680800,77.0,-33.93,18.42,62.6,2.24
24,ust-ishim,92.0,RU,1544683460,89.0,57.69,71.17,14.71,8.01
25,nikolskoye,90.0,RU,1544682600,90.0,59.7,30.79,32.0,8.95
26,busselton,0.0,AU,1544683463,73.0,-33.64,115.35,76.81,2.08
27,torbay,90.0,CA,1544680800,79.0,47.66,-52.73,26.6,14.99
28,atar,0.0,MR,1544683466,53.0,20.52,-13.05,48.19,5.55
29,aklavik,90.0,CA,1544680800,76.0,68.22,-135.01,-5.81,7.67
30,castro,48.0,CL,1544680800,87.0,-42.48,-73.76,48.2,9.17
31,butaritari,68.0,KI,1544683470,100.0,3.07,172.79,85.54,16.17
32,albany,75.0,US,1544681820,67.0,42.65,-73.75,17.96,4.7
33,kruisfontein,0.0,ZA,1544683473,82.0,-34.0,24.73,66.41,9.24
34,upernavik,68.0,GL,1544683474,100.0,72.79,-56.15,19.93,7.45
35,tasiilaq,92.0,GL,1544680200,91.0,65.61,-37.64,37.4,21.92
36,geraldton,90.0,CA,1544680800,100.0,49.72,-86.95,26.6,3.36
37,arraial do cabo,0.0,BR,1544683478,93.0,-22.97,-42.02,73.52,13.71
38,port elizabeth,20.0,US,1544680560,84.0,39.31,-74.98,35.06,5.21
39,rikitea,92.0,PF,1544683481,100.0,-23.12,-134.97,73.7,11.59
40,khatanga,64.0,RU,1544683483,73.0,71.98,102.47,8.0,17.29
41,tuktoyaktuk,90.0,CA,1544680800,76.0,69.44,-133.03,-4.01,14.99
42,kodiak,90.0,US,1544681700,55.0,39.95,-94.76,39.02,6.93
43,fukue,20.0,JP,1544682600,100.0,35.03,136.69,51.8,3.36
44,jennings,80.0,AU,1544683488,79.0,-28.93,151.93,72.71,8.68
45,avarua,90.0,CK,1544680800,88.0,-21.21,-159.78,75.2,4.7
46,coquimbo,0.0,CL,1544680800,93.0,-29.95,-71.34,55.4,8.05
47,tomatlan,44.0,MX,1544683492,90.0,19.93,-105.25,65.24,2.19
48,hokitika,80.0,NZ,1544683493,96.0,-42.72,170.96,63.49,1.63
49,egvekinot,24.0,RU,1544683495,67.0,66.32,-179.17,-5.59,8.01
50,faanui,32.0,PF,1544683496,100.0,-16.48,-151.75,82.79,8.12
51,kushiro,20.0,JP,1544680800,50.0,43.11,144.15,28.4,3.36
53,betera,92.0,ES,1544680800,81.0,39.58,-0.45,55.4,6.93
54,thompson,90.0,CA,1544680800,100.0,55.74,-97.86,21.2,5.82
55,yellowknife,5.0,CA,1544680800,77.0,62.45,-114.38,3.2,10.29
57,sitka,0.0,US,1544683503,68.0,37.17,-99.65,29.56,8.68
58,shimoda,75.0,JP,1544680800,53.0,34.7,138.93,53.6,10.29
59,saint-philippe,1.0,CA,1544682900,86.0,45.36,-73.48,3.2,4.7
60,nguru,0.0,NG,1544683508,43.0,12.88,10.45,55.97,6.55
61,port lincoln,92.0,AU,1544683509,86.0,-34.72,135.86,59.53,27.36
62,zhigansk,56.0,RU,1544683511,29.0,66.77,123.37,-20.22,9.57
63,hermanus,36.0,ZA,1544683513,83.0,-34.42,19.24,60.02,2.42
66,guerrero negro,0.0,MX,1544683514,100.0,27.97,-114.04,54.58,7.78
67,sisimiut,44.0,GL,1544683516,100.0,66.94,-53.67,-1.72,1.97
68,najran,0.0,SA,1544680800,37.0,17.54,44.22,69.8,3.98
70,kyrnasivka,88.0,UA,1544683519,89.0,48.6,28.98,29.51,11.7
71,mar del plata,12.0,AR,1544683265,52.0,-46.43,-67.52,59.3,10.13
72,kahului,1.0,US,1544680560,73.0,20.89,-156.47,75.02,11.41
73,liusha,88.0,CN,1544683522,89.0,27.21,108.59,34.78,3.65
74,puerto lempira,92.0,HN,1544683524,95.0,15.27,-83.77,73.16,3.09
75,iglesias,90.0,ES,1544680800,93.0,42.3,-3.99,44.6,16.11
76,vaini,0.0,IN,1544680800,32.0,15.34,74.49,80.6,4.7
77,carnarvon,0.0,ZA,1544683528,39.0,-30.97,22.13,62.41,4.54
78,pyapon,88.0,MM,1544683529,69.0,16.29,95.68,86.12,12.71
80,frankfort,90.0,US,1544681700,56.0,38.2,-84.87,50.0,13.87
81,mahanoro,64.0,MG,1544683532,85.0,-19.9,48.8,79.37,3.42
82,gat,24.0,SN,1544680800,40.0,14.69,-16.54,69.8,16.11
83,palimbang,75.0,PH,1544680800,66.0,14.9,120.78,86.0,9.17
84,miramar,0.0,CR,1544680800,52.0,10.09,-84.73,68.0,12.75
85,port alfred,12.0,ZA,1544683538,90.0,-33.59,26.89,68.08,10.25
86,lorengau,80.0,PG,1544683539,100.0,-2.02,147.27,84.68,2.08
88,mahebourg,75.0,MU,1544680800,62.0,-20.41,57.7,84.2,13.87
90,saskylakh,24.0,RU,1544683542,57.0,71.97,114.09,-6.31,12.26
91,enumclaw,90.0,US,1544681700,75.0,47.2,-121.99,46.4,8.05
92,trincomalee,92.0,LK,1544683545,84.0,8.58,81.23,81.31,8.68
93,bethanien,0.0,NA,1544683546,44.0,-26.5,17.16,65.33,5.55
94,vila velha,75.0,BR,1544680800,74.0,-3.71,-38.6,80.6,11.41
95,tiksi,0.0,RU,1544683549,63.0,71.64,128.87,-14.14,24.56
96,pendleton,1.0,US,1544681700,85.0,34.65,-82.78,37.22,3.36
98,new norfolk,75.0,AU,1544680800,68.0,-42.78,147.06,68.0,17.22
99,huaihua,88.0,CN,1544683553,94.0,27.56,109.96,37.7,3.76
100,tura,0.0,IN,1544683554,60.0,25.52,90.21,73.48,6.67
101,nome,90.0,US,1544681700,85.0,30.04,-94.42,64.04,6.93
102,georgetown,40.0,GY,1544680800,100.0,6.8,-58.16,73.4,4.7
103,avera,1.0,US,1544681700,94.0,33.19,-82.53,35.78,3.53
104,nanortalik,88.0,GL,1544683560,89.0,60.14,-45.24,26.09,13.82
105,portland,90.0,US,1544680560,82.0,45.52,-122.67,48.02,11.41
106,bredasdorp,40.0,ZA,1544680800,56.0,-34.53,20.04,68.0,5.82
107,kapaa,75.0,US,1544680560,70.0,22.08,-159.32,75.92,26.4
108,bud,0.0,NO,1544682000,85.0,62.91,6.91,32.0,10.29
109,san policarpo,92.0,PH,1544683567,100.0,12.18,125.51,78.74,7.78
111,itanhem,88.0,BR,1544683568,93.0,-17.17,-40.33,66.28,2.64
112,batagay-alyta,0.0,RU,1544683570,0.0,67.8,130.41,-43.17,2.64
113,karratha,0.0,AU,1544683571,12.0,-20.74,116.85,108.17,14.27
114,ahipara,0.0,NZ,1544683572,71.0,-35.17,173.16,69.38,10.58
115,ponta delgada,40.0,PT,1544680800,81.0,37.73,-25.67,53.6,2.24
116,caravelas,76.0,BR,1544683575,100.0,-17.73,-39.27,78.34,9.57
117,yulara,0.0,AU,1544680800,18.0,-25.24,130.99,91.4,13.87
119,prince george,40.0,CA,1544680800,55.0,53.92,-122.75,35.6,23.04
120,mersing,92.0,MY,1544683579,87.0,2.43,103.84,83.33,11.7
121,constitucion,0.0,MX,1544683580,60.0,23.99,-104.67,41.12,4.21
122,ballina,90.0,IE,1544680800,93.0,54.11,-9.15,41.0,23.04
123,saint george,90.0,GR,1544680200,86.0,39.45,22.34,39.2,1.19
124,severo-kurilsk,24.0,RU,1544683585,100.0,50.68,156.12,27.04,13.82
125,arman,0.0,RU,1544683586,62.0,59.7,150.17,-14.28,5.44
126,esna,12.0,RO,1544683587,97.0,45.2,27.57,20.11,4.54
127,abadiania,40.0,BR,1544680800,93.0,-16.2,-48.71,60.8,9.17
128,lagoa,75.0,PT,1544680800,87.0,37.14,-8.45,59.0,16.11
129,katobu,64.0,ID,1544683591,77.0,-4.94,122.53,89.36,5.66
130,kununurra,0.0,AU,1544682600,39.0,-15.77,128.74,100.4,11.41
131,saldanha,88.0,PT,1544683594,97.0,41.42,-6.55,42.2,8.57
132,makat,92.0,KZ,1544683595,99.0,47.65,53.35,32.26,16.17
133,vila do maio,0.0,CV,1544683597,100.0,15.13,-23.22,72.94,17.18
134,moranbah,92.0,AU,1544683598,89.0,-22.0,148.04,77.75,7.11
135,puerto ayora,80.0,EC,1544683361,100.0,-0.74,-90.35,73.97,10.25
136,kuusamo,0.0,FI,1544682000,84.0,65.96,29.19,-2.21,1.12
138,cidreira,36.0,BR,1544683602,93.0,-30.17,-50.22,70.55,8.68
139,norman wells,75.0,CA,1544680800,76.0,65.28,-126.83,-5.81,3.36
140,suntar,76.0,RU,1544683604,71.0,62.16,117.65,0.98,5.99
141,barrow,0.0,AR,1544683606,53.0,-38.31,-60.23,64.16,13.27
142,qaanaaq,68.0,GL,1544683607,87.0,77.48,-69.36,5.66,3.09
143,hithadhoo,64.0,MV,1544683608,100.0,-0.6,73.08,80.41,11.7
144,la cruz,24.0,MX,1544683610,100.0,23.92,-106.89,63.8,3.65
145,carlsbad,75.0,CZ,1544680800,92.0,50.23,12.87,28.4,6.93
146,kaspiysk,20.0,RU,1544682600,61.0,42.88,47.64,48.2,17.9
147,abatskoye,80.0,RU,1544683614,76.0,56.29,70.46,11.74,11.03
148,ixtapa,40.0,MX,1544680140,100.0,20.71,-105.21,73.4,0.96
149,kavieng,32.0,PG,1544683617,100.0,-2.57,150.8,85.76,4.76
150,vestmannaeyjar,68.0,IS,1544683618,92.0,63.44,-20.27,45.04,29.93
152,kaoma,0.0,ZM,1544683620,79.0,-14.8,24.8,70.51,6.78
153,narsaq,8.0,GL,1544683621,48.0,60.91,-46.05,-4.24,3.09
154,santa cruz,1.0,US,1544683200,75.0,36.97,-122.03,50.0,2.19
155,grand-lahou,76.0,CI,1544683625,95.0,5.24,-5,74.69,2.53
156,yumen,0.0,CN,1544683626,72.0,40.29,97.04,25.78,4.76
157,port blair,44.0,IN,1544683627,100.0,11.67,92.75,81.17,19.53
159,hilo,90.0,US,1544680380,76.0,19.71,-155.08,75.02,6.93
160,manyana,90.0,AU,1544680800,100.0,-35.26,150.51,69.8,8.05
161,isangel,88.0,VU,1544683631,100.0,-19.55,169.27,77.12,15.17
162,iglas,12.0,IN,1544683633,100.0,27.71,77.94,60.47,7.56
163,uribia,0.0,CO,1544683634,76.0,11.71,-72.27,78.47,18.19
164,dikson,76.0,RU,1544683636,85.0,73.51,80.55,16.82,16.62
165,gandajika,44.0,CD,1544683638,97.0,-6.75,23.95,72.98,4.43
166,jamestown,64.0,AU,1544683639,63.0,-33.21,138.6,55.66,20.87
167,hearst,0.0,CA,1544683640,89.0,49.69,-83.67,19.34,7.23
168,sao jose do egito,20.0,BR,1544683605,91.0,-7.48,-37.27,65.69,5.77
169,hualmay,36.0,PE,1544683643,97.0,-11.1,-77.61,59.66,0.74
170,axim,36.0,GH,1544683645,100.0,4.87,-2.24,80.54,2.75
172,san fernando,20.0,TT,1544680800,88.0,10.28,-61.46,73.4,4.99
173,puerto escondido,32.0,MX,1544683648,100.0,15.86,-97.07,82.43,15.84
174,pontes e lacerda,64.0,BR,1544683649,89.0,-15.23,-59.33,73.84,3.42
176,pahrump,1.0,US,1544680680,22.0,36.21,-115.98,46.04,10.29
177,ostersund,90.0,SE,1544682000,92.0,63.18,14.64,10.4,1.12
178,dingle,64.0,PH,1544683653,71.0,11.0,122.67,83.6,15.17
179,mount isa,56.0,AU,1544682600,29.0,-20.73,139.49,98.6,10.29
180,rudnogorsk,24.0,RU,1544683656,71.0,57.27,103.75,12.32,7.45
181,sorland,75.0,NO,1544682000,87.0,67.67,12.69,42.8,21.92
182,diego de almagro,48.0,CL,1544683658,96.0,-26.39,-70.05,57.77,2.53
183,laguna,0.0,MX,1544683660,91.0,27.52,-110.01,52.33,0.63
184,tailai,0.0,CN,1544683661,51.0,46.39,123.41,8.54,9.46
185,kenai,90.0,US,1544680380,84.0,60.55,-151.26,21.92,3.36
187,port-gentil,20.0,GA,1544680800,94.0,-0.72,8.78,78.8,4.7
188,faya,75.0,SA,1544680800,82.0,18.39,42.45,60.8,9.17
190,vanavara,88.0,RU,1544683667,79.0,60.35,102.28,6.11,6.67
191,primorsk,68.0,RU,1544683668,97.0,60.37,28.62,25.33,8.46
192,lavrentiya,20.0,RU,1544683669,100.0,65.58,-170.99,9.53,35.63
193,miguel pereira,0.0,BR,1544680800,83.0,-22.45,-43.47,77.0,4.7
194,longyearbyen,75.0,NO,1544680200,80.0,78.22,15.63,35.6,27.51
195,navahrudak,88.0,BY,1544683673,86.0,53.59,25.82,27.35,14.27
197,uspenka,20.0,UA,1544683675,86.0,48.39,39.16,26.45,7.67
198,boueni,0.0,YT,1544682600,70.0,-12.9,45.08,87.8,4.7
199,zhezkazgan,90.0,KZ,1544682600,100.0,47.8,67.71,21.2,6.71
200,leningradskiy,68.0,RU,1544683679,94.0,69.38,178.42,-4.38,17.07
201,port hedland,0.0,AU,1544682600,21.0,-20.31,118.58,104.0,18.34
202,kirsanov,88.0,RU,1544683682,94.0,52.65,42.73,25.37,7.67
203,chokurdakh,48.0,RU,1544683683,37.0,70.62,147.9,-24.45,11.81
204,kholmogory,90.0,RU,1544682600,92.0,64.23,41.65,12.2,2.24
205,anloga,24.0,GH,1544683686,94.0,5.79,0.9,74.29,4.54
206,bethel,1.0,US,1544680560,82.0,60.79,-161.76,3.02,8.05
207,matara,8.0,PE,1544683689,95.0,-13.74,-72.9,39.01,1.74
208,gladstone,75.0,AU,1544682600,69.0,-23.84,151.26,80.6,12.75
210,sainte-suzanne,20.0,CH,1544682000,85.0,47.51,6.77,32.0,6.93
211,vardo,90.0,US,1544682300,79.0,39.62,-77.74,39.02,3.65
212,ginir,0.0,ET,1544683696,31.0,7.14,40.71,71.99,2.42
213,labuan,75.0,BN,1544680800,74.0,5.28,115.24,89.6,5.82
214,janakpur,0.0,NP,1544683699,22.0,26.73,85.92,80.18,3.53
215,the valley,20.0,AI,1544680800,73.0,18.22,-63.06,77.0,6.93
217,esperance,20.0,TT,1544680800,88.0,10.24,-61.45,73.4,4.99
218,lasa,75.0,CY,1544680800,58.0,34.92,32.53,59.0,5.82
219,east liverpool,40.0,US,1544680560,59.0,40.62,-80.58,42.08,3.36
220,kurayoshi,20.0,JP,1544680800,66.0,35.43,133.83,48.2,13.87
221,makakilo city,90.0,US,1544682780,94.0,21.35,-158.09,75.02,3.36
222,rutul,75.0,RU,1544680800,81.0,41.53,47.42,48.2,6.93
224,kangaatsiaq,68.0,GL,1544683710,100.0,68.31,-53.46,17.68,2.19
225,kropotkin,80.0,RU,1544683711,98.0,45.43,40.58,32.89,7.0
226,vanimo,0.0,PG,1544683713,100.0,-2.67,141.3,84.59,12.03
227,namatanai,64.0,PG,1544683714,93.0,-3.66,152.44,86.53,7.0
228,norilsk,80.0,RU,1544683716,88.0,69.35,88.2,11.06,16.06
230,seoul,20.0,KR,1544682600,51.0,37.57,126.98,37.94,2.24
231,talnakh,80.0,RU,1544683718,88.0,69.49,88.39,11.06,16.06
232,chuy,0.0,UY,1544683720,92.0,-33.69,-53.46,62.45,10.47
234,east london,0.0,ZA,1544683657,100.0,-33.02,27.91,70.55,11.25
235,vorotynets,92.0,RU,1544683722,88.0,56.06,45.86,17.54,7.11
237,jalu,0.0,LY,1544683724,73.0,29.03,21.55,40.49,3.53
238,westport,90.0,IE,1544680800,93.0,53.8,-9.52,41.0,23.04
240,terryville,90.0,US,1544682900,98.0,29.19,-97.07,65.66,8.05
241,muskogee,90.0,US,1544682900,76.0,35.75,-95.37,53.96,4.7
242,maniitsoq,20.0,GL,1544683729,100.0,65.42,-52.9,11.96,9.69
243,buston,20.0,TJ,1544682600,100.0,40.53,69.33,37.4,15.66
244,katsuura,40.0,JP,1544680800,46.0,33.93,134.5,53.6,10.29
245,victor harbor,75.0,AU,1544683320,62.0,-35.55,138.62,59.0,23.04
246,herat,0.0,AF,1544680500,46.0,34.35,62.22,50.0,3.2
247,lorain,20.0,US,1544681700,66.0,41.47,-82.18,41.0,4.7
248,olenegorsk,32.0,RU,1544683737,68.0,68.14,33.28,17.54,6.78
249,sept-iles,5.0,CA,1544680800,69.0,50.2,-66.38,-13.01,2.24
250,saint-michel-des-saints,0.0,CA,1544683740,64.0,46.68,-73.92,-14.86,2.42
251,pouembout,92.0,NC,1544683741,64.0,-21.12,164.9,76.81,2.53
252,pacific grove,1.0,US,1544681700,76.0,36.62,-121.92,50.0,9.17
253,siderno,75.0,IT,1544680500,82.0,38.28,16.3,55.4,4.7
255,lae,40.0,PG,1544680800,52.0,-6.72,146.98,91.4,3.09
256,ostashkov,80.0,RU,1544683746,87.0,57.14,33.12,27.17,17.18
258,aguascalientes,75.0,MX,1544679660,71.0,21.88,-102.3,55.4,6.93
259,chernushka,56.0,RU,1544683749,70.0,56.5,56.08,11.38,2.98
260,souillac,90.0,FR,1544680800,93.0,45.6,-0.6,44.6,8.05
261,petropavlovsk-kamchatskiy,0.0,RU,1544682600,65.0,53.05,158.65,5.0,2.24
262,longyan,92.0,CN,1544683753,87.0,25.1,117.03,47.96,2.53
263,te anau,92.0,NZ,1544683755,99.0,-45.41,167.72,58.18,3.53
264,wattegama,68.0,LK,1544683757,68.0,7.35,80.68,80.18,7.11
265,stephenville,1.0,US,1544682900,87.0,32.22,-98.2,57.38,5.82
267,belaya gora,44.0,RU,1544683760,0.0,68.54,146.19,-34.39,3.53
268,brasilia de minas,44.0,BR,1544683679,81.0,-16.21,-44.43,68.66,8.57
269,port augusta,75.0,AU,1544682780,45.0,-32.49,137.76,64.4,27.51
270,iisalmi,90.0,FI,1544682000,79.0,63.56,27.19,28.4,2.24
271,canora,1.0,CA,1544680800,73.0,51.64,-102.43,26.6,10.29
272,yarkovo,75.0,RU,1544682600,78.0,54.81,82.6,10.4,8.95
273,ulaanbaatar,12.0,MN,1544682600,40.0,47.92,106.92,15.8,3.98
274,bambous virieux,75.0,MU,1544680800,62.0,-20.34,57.76,84.2,13.87
275,san borja,80.0,BO,1544683771,98.0,-14.86,-66.75,70.82,1.74
276,merauke,36.0,ID,1544683772,91.0,-8.49,140.4,86.66,11.7
277,provideniya,36.0,RU,1544683773,100.0,64.42,-173.23,12.95,23.22
278,tshane,44.0,BW,1544683775,23.0,-24.02,21.87,81.35,14.27
279,mocuba,92.0,MZ,1544683776,100.0,-16.84,36.99,74.56,3.98
280,sao filipe,0.0,CV,1544683755,97.0,14.9,-24.5,73.84,18.75
281,suixi,0.0,CN,1544683779,55.0,33.92,116.76,43.1,4.54
282,mount gambier,90.0,AU,1544682600,100.0,-37.83,140.78,55.4,25.28
283,xique-xique,56.0,BR,1544683781,78.0,-10.82,-42.73,74.11,13.6
284,guilin,90.0,CN,1544680800,61.0,25.28,110.29,48.2,6.71
285,igarka,76.0,RU,1544683785,78.0,67.47,86.57,10.97,11.48
286,neuquen,20.0,AR,1544680800,37.0,-38.95,-68.06,71.6,5.82
287,ancud,80.0,CL,1544680800,87.0,-41.87,-73.83,48.2,9.17
289,coihaique,0.0,CL,1544680800,76.0,-45.58,-72.07,48.2,6.93
290,keti bandar,0.0,PK,1544683790,100.0,24.14,67.45,68.44,17.74
291,sinnamary,92.0,GF,1544683792,97.0,5.38,-52.96,79.06,12.59
292,san cristobal,75.0,EC,1544680800,100.0,-0.39,-78.55,55.4,3.36
293,kaitangata,36.0,NZ,1544683794,79.0,-46.28,169.85,59.21,17.29
294,svetlogorsk,20.0,RU,1544682600,72.0,53.14,59.15,14.0,8.95
296,san carlos de bariloche,0.0,AR,1544680800,76.0,-41.13,-71.31,48.2,9.17
297,akureyri,88.0,IS,1544683799,87.0,65.68,-18.09,23.21,1.97
298,foki,76.0,RU,1544683800,78.0,56.69,54.35,14.48,2.64
299,viedma,0.0,AR,1544683801,68.0,-40.81,-62.99,61.51,13.71
300,ridgecrest,20.0,US,1544680560,59.0,35.62,-117.67,42.08,4.7
302,sangmelima,88.0,CM,1544683804,97.0,2.93,11.98,69.43,2.75
303,kuytun,8.0,RU,1544683806,76.0,54.34,101.51,8.68,3.42
304,bambanglipuro,56.0,ID,1544683807,79.0,-7.95,110.28,84.59,6.44
305,inuvik,90.0,CA,1544680800,76.0,68.36,-133.71,-5.81,0.96
306,saurimo,20.0,AO,1544680800,77.0,-9.66,20.4,69.8,3.76
307,churapcha,64.0,RU,1544683811,45.0,62.0,132.43,-28.63,2.64
308,hobyo,0.0,SO,1544683812,73.0,5.35,48.53,82.07,17.52
309,nivala,56.0,FI,1544683814,86.0,63.93,24.96,17.0,3.65
310,tsogni,100.0,GA,1544683815,100.0,-2.79,10.1,78.02,1.41
311,aksum,8.0,ET,1544683816,84.0,14.12,38.72,59.93,3.53
